Gas;Brake;Fuel;Gear;Rpms;SteerAngle;SpeedKmh;Heading;Pitch;Roll;BrakeTemp_front_left;BrakeTemp_front_right;BrakeTemp_rear_left;BrakeTemp_rear_right;TyreTempI_front_left;TyreTempI_front_right;TyreTempI_rear_left;TyreTempI_rear_right;TyreTempM_front_left;TyreTempM_front_right;TyreTempM_rear_left;TyreTempM_rear_right;TyreTempO_front_left;TyreTempO_front_right;TyreTempO_rear_left;TyreTempO_rear_right;isNewLap
0.76559997;0;65;6;8606;0.00417175;233.26784;2.1832478;-0.013098672;-0.020755365;348.46945;352.95087;212.07182;212.27641;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;6;8678;0.00033825;233.62517;2.186493;-0.013100167;-0.016439432;346.6032;351.05814;211.26114;211.46486;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;6;8715;0.0012402501;234.21974;2.1870093;-0.0135267265;-0.016827488;344.53467;348.96036;210.36111;210.5638;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;6;8745;0.00056375;234.83951;2.1866374;-0.011345723;-0.017103875;342.47507;346.87152;209.46329;209.66501;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;6;8764;0.0002255;235.43352;2.185535;-0.013754497;-0.013026568;340.42352;344.79086;208.5674;208.76814;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;6;8789;-0.0087945005;236.08583;2.1851223;-0.015938139;-0.016240422;338.17706;342.51263;207.58453;207.7842;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;6;8815;-0.008118;236.60493;2.182361;-0.014385238;-0.023789555;336.34738;340.65707;206.7826;206.98137;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;6;8831;-0.000451;237.15868;2.1791155;-0.013491522;-0.026107252;334.3225;338.60352;205.89357;206.09137;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;7;7748;0.0034952501;237.15521;2.180641;-0.014053178;-0.025777996;332.3174;336.57004;205.01167;205.2085;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;7;7592;-0.00056375;237.74455;2.1832232;-0.013192851;-0.024116002;330.5132;334.7404;204.21678;204.41275;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;7;7641;-0.00146575;238.3429;2.1824827;-0.013190137;-0.020305334;328.3193;332.51553;203.24849;203.44339;0;0;0;0;0;0;0;0;0;0;0;0;0
